ID,LogFC_x_Cha,LogFC_x_Man,LogFC_x_Kow,LogFC_x_Nor,LogFC_x_Mar,LogFC_x_Wah,LogFC_x_Fla,LogFC_x_Laz,LogFC_x_Ber,LogFC_x_Gro,LogFC_x_Sun,LogFC_x_Kir,Mean,Stdev,Gene,Counts
1387,,,,,1.8323899396,,,,,,0.9090377192,,1.3707138294,0.6529086164684957,Il17rc,2
1388,,,,-1.9078548704,-1.0694560994,,,,,,,,-1.4886554849,0.5928374563125675,Zfp292,2
1389,1.624149152,,,-2.0616498317,,,,,,,,,-0.21875033985000003,2.606253455464755,Eif3j2,2
1390,,,,,-3.2096564629,,,,,,2.6752711621,,-0.26719265039999995,4.161272230429543,Ly6a2,2
1391,,,,0.696541632,,,,,,,0.5336700875,,0.61510585975,0.1151675735782765,Lbp,2
1392,-2.437791227,,,,-0.6336169363,,,,,,,,-1.53570408165,1.2757438753963994,Arhgap9,2
1395,,,,,-1.7087825908,,,,,,-0.7040287952,,-1.206405693,0.7104682222916824,Rgl1,2
1396,0.4177943344,,,,0.8482292515,,,,,,,,0.63301179295,0.3043634487408794,Enpp1,2
1397,,,,,5.8725118109,,,,,,1.0411669104,,3.45683936065,3.4162767413945954,Cacna1b,2
1398,-1.8615696449,,,,,-1.5095274791,,,,,,,-1.6855485620000001,0.248931402700779,Itgb5,2
1399,,,,1.4412178059,,,,,0.5712129608,,,,1.00621538335,0.6151863256353619,Nav1,2
1400,,,-0.297339821,-1.2003693729,,,,,,,,,-0.74885459695,0.6385383197603394,Trf,2
1401,1.5304243978,,,-1.5645289758,,,,,,,,,-0.017052288999999998,2.1884625179287425,Txnrd1,2
1402,,,,,-7.3508272318,,,,,,2.5439855881,,-2.40342082185,6.996689243522875,Klra2,2
1403,-0.2450657624,,,,,,-0.743492815475006,,,,,,-0.494279288937503,0.352441149156164,Stx8,2
1404,,,,,-6.6466167475,,,,,,-1.5503823829,,-4.0984995652,3.6035818777245763,Pklr,2
1405,,,,,1.468933607,,,,,,0.6463149779,,1.0576242924500001,0.5816792109669915,Loxl3,2
1406,1.5844374774,,,,,,,,,,0.708124972,,1.1462812247,0.619646515006913,Eid1,2
1407,,,,,1.2121805654,,,,,,0.7682280558,,0.9902043106,0.31392183006294583,Gm43904,2
1408,1.8647314385,,,,,,,,,-0.4291729101,,,0.7177792642,1.62203532028837,Hnrnpl,2
1409,2.6747966633,,0.3280520667,,,,,,,,,,1.501424365,1.659399017968749,Pex11a,2
1410,2.6767732986,,,0.8793513404,,,,,,,,,1.7780623195,1.2709692552968233,Arap2,2
1411,1.4632623664,,,,0.3634819147,,,,,,,,0.9133721405499999,0.7776622152134742,Srsf10,2
1412,,,1.2442994041,,,,,,,,,1.6434288697,1.4438641368999998,0.2822271516971228,Fos,2
1413,,,,,,,,,0.9550659522,,0.5008043787,,0.72793516545,0.32121143905432126,Igtp,2
1414,,,,,3.3606243058,,,,,,1.6020497707,,2.48133703825,1.2434999789911902,Ar,2
1415,,,,,1.2511785311,,,,0.7258466128,,,,0.9885125719500001,0.37146576180366747,Large2,2
1416,,,,,2.5725793039,,,,,,1.3045493557,,1.9385643298000002,0.8966325751198465,Gm12655,2
1417,,,,,-3.7766250545,,,,,,-1.7701348498,,-2.77337995215,1.418802830127754,Cd4,2
1418,,,,,2.805701956,,,,,,1.5401506241,,2.17292629005,0.8948799287261572,Cnksr1,2
1419,,,,1.2101591867,,,,,,,2.2494564217,,1.7298078042,0.734894122536929,Rasgrf2,2
1420,,,,,1.6940293527,,,,,,1.9069417277,,1.8004855402,0.1505517841610331,Lbhd2,2
1421,,,,,-9.6966753395,,,,,,-1.2508534749,,-5.4737644072,5.972097913152271,Olfml2b,2
1422,,,,,5.8785541412,,,,,,1.1007083047,,3.48963122295,3.378447190453063,Rragd,2
1423,,,,,,,,,2.0784428164,0.46429506,,,1.2713689382,1.1413748243874915,H2-Eb1,2
1424,-2.548406267,,-0.5427078087,,,,,,,,,,-1.5455570378499999,1.4182429808793338,Cd47,2
1426,-1.1084023175,,,-0.9315840415,,,,,,,,,-1.0199931795,0.12502940199731455,Vim,2
1429,-0.625927406,,,-0.6124089193,,,,,,,,,-0.61916816265,0.009559013616950152,Gch1,2
1430,3.7857895404,,,,,,,,,,0.5846696945,,2.18522961745,2.263533550426726,Tm9sf2,2
1431,-0.8661298339,,-0.5133655062,,,,,,,,,,-0.68974767005,0.24944204827738342,Mat2a,2
1432,-0.6678753165,,,,-0.7816153499,,,,,,,,-0.7247453332,0.08042634890952445,Stk40,2
1433,0.5885880106,,,,,,-0.964975973100002,,,,,,-0.18819398125000103,1.0985356278814584,Lhcgr,2
1434,,,,0.9372831117,,,,,,,0.8679354484,,0.9026092800500001,0.04903620297887145,Ppm1e,2
1435,-1.8291703725,,,,0.5499139502,,,,,,,,-0.63962821115,1.6822666575957743,Ece1,2
1436,,,-0.7238299559,-0.7856715904,,,,,,,,,-0.75475077315,0.04372863911460996,Serpina3g,2
1437,1.8051704718,,,,,,,,,,0.5993228166,,1.2022466442,0.8526630540698177,Ppp1cb,2
1438,,,,,4.7776340603,,,,,,2.2021988432,,3.48991645175,1.8211077065180579,Sis,2
1439,,,,,3.5646263212,,,,,,1.1505767723,,2.3576015467499998,1.706990806147516,Mt3,2
1440,-1.7431497593,,,-1.243745882,,,,,,,,,-1.4934478206500001,0.35313186818968456,Ercc6l,2
1441,,,-0.2914095887,,,,,,,,-0.5888033145,,-0.4401064516,0.2102891201955127,Rad52,2
1442,,,,,-1.1324593262,,,,,,-1.1113042863,,-1.12188180625,0.014958872169561986,C1qc,2
1443,,,,,8.4503407607,,,,,,1.2561392891,,4.8532400249,5.087068645790599,Slc6a3,2
1444,,,,,2.6490545123,,,,,,1.8564487602,,2.25275163625,0.5604569021173739,Prom2,2
1445,3.3331842678,,,,,,,,,,0.5273054252,,1.9302448465,1.9840559567903215,Ppp3r1,2
1446,1.6198312588,,,,,,,,,,-0.5810580594,,0.5193865997,1.556263761540257,Hmmr,2
1447,,,,,-0.8041558644,,,,,,-0.4733594981,,-0.63875768125,0.2339083538025991,Tcf3,2
1448,-2.6178477711,,,,,,,,,,-0.5930257265,,-1.6054367488,1.4317653984326701,Kif22,2
1450,,,,,1.5638426398,,,,,,1.6693875231,,1.61661508145,0.07463150270097273,Ccdc92,2
1451,,,,,1.4786595279,,,,,,0.7661942764,,1.12242690215,0.503789010695429,Ggt1,2
1452,,,,,1.2399733909,,,,,,0.8834148677,,1.0616941293,0.2521249496445809,Pde6h,2
1453,,,,0.5262341559,,,,,,,0.9772471331,,0.7517406445,0.31891433458125373,Alox12,2
1454,,,,,,-0.7882978766,,,,-0.7605057518,,,-0.7744018142,0.019651999909662772,Slc16a7,2
1455,-0.4494339059,,,,,,,,-0.8645995583,,,,-0.6570167321,0.29356644812777705,Zfp91,2
1456,,,,-0.59156994,,,,,,,-0.5658831883,,-0.5787265641499999,0.018163276313725087,Fhod1,2
1457,-1.4516016774,,,,-0.9245348026,,,,,,,,-1.18806824,0.3726925613098811,Rhbdf1,2
1458,,,,,0.5587540854,,,,,,0.7746406546,,0.6666973700000001,0.1526548570484188,Dr1,2
1459,-1.3974004506,,,,-0.847494817,,,,,,,,-1.1224476338,0.388842002531245,Pomgnt1,2
1460,0.2362798735,,,,-3.3150644127,,,,,,,,-1.5393922696,2.511179627100119,Trem3,2
1461,,,,,7.646336671,,,,,,1.2143384792,,4.4303375751,4.548109538001392,Wscd1,2
1462,,,,,0.5199961132,,,,0.9206962915,,,,0.72034620235,0.28333781329858865,Dok1,2
1463,1.8201658715,,,,0.3461890967,,,,,,,,1.0831774841,1.0422589727725566,Tax1bp1,2
1464,1.9166928834,,,,,,,,,,0.6013687267,,1.25903080505,0.9300746306610471,Man1a,2
1465,,,,-0.770248199,,,-1.11627979523334,,,,,,-0.9432639971166701,0.2446812882014002,Nucb2,2
1466,,,,,-0.5823426836,,,,,,-0.5904564426,,-0.5863995631,0.00573729400981338,Slc29a1,2
1467,,,,1.7338828524,,0.8059652118,,,,,,,1.2699240321,0.6561368560508817,Ccnj,2
1468,,,,0.85505821,,,,,,,0.5692917959,,0.71217500295,0.20206736924547306,Zcchc14,2
1469,,,,,-2.136432951,,,,,,1.0700166473,,-0.5332081518500001,2.2673022544908115,Fn1,2
1470,,,,1.9963677721,8.3892780665,,,,,,,,5.192822919299999,4.520470220687527,Greb1,2
1471,3.44366478,,,1.174953465,,,,,,,,,2.3093091225,1.6042211553911496,Trib2,2
1472,,,,,8.6450232019,,,,,,1.9560587755,,5.300540988700001,4.729812105023026,Cxxc4,2
1473,,,,,,,1.05503799265,,0.536223204,,,,0.795630598325,0.3668574552342804,Chd7,2
1477,0.89680229,,,,,,,,,,0.5769354289,,0.73686885945,0.22618002656066546,Tpd52,2
1478,,,,1.2675522036,,,,,,,1.1637083223,,1.21563026295,0.07342871265196091,Sdc4,2
1479,-1.3403541251,,,,-0.9040051172,,,,,,,,-1.12217962115,0.3085453424501124,Sirpa,2
1480,,,,2.4484129745,,2.1565918177,,,,,,,2.3025023961,0.20634871886698292,Rarb,2
1481,,,,,1.0724715718,,,,,,0.5662116935,,0.81934163265,0.35797979298860627,Hrh2,2
1482,,,,1.0069277966,-0.8748818296,,,,,,,,0.06602298350000002,1.3306403475881423,Wwc2,2
1483,0.8935552089,,,0.961062303,,,,,,,,,0.92730875595,0.04773472401630837,Mgea5,2
1485,,,,,-0.4251092406,,,,,,-0.4424589735,,-0.43378410705000003,0.012268113785365362,Spi1,2
1486,-2.8858400816,,,,,,-0.722295597675004,,,,,,-1.804067839637502,1.529856975982114,Borcs7,2
1487,,,,,,,,,0.782253824,,0.9846987024,,0.8834762632,0.14315014633312603,Pcdhb18,2
1488,2.8536518586,,,,,,,,,,0.5118170673,,1.68273446295,1.6559272613468135,4931406C07Rik,2
1489,1.9148321214,,,,,0.9889979296,,,,,,,1.4519150255,0.6546636352761467,Pim2,2
1490,0.6700735214,,,,,,,,,,,-0.8790927267,-0.10450960265000003,1.0954259592168316,Rbbp9,2
1491,,,,,-1.6477294176,,,,,,-0.8692046063,,-1.2584670119499999,0.5505001733922072,Cd69,2
1492,,,,-0.8697181733,,,-0.695001893566671,,,,,,-0.7823600334333355,0.12354306618312272,Fen1,2
1494,,,,,3.0944783604,,,,,,1.1465892649,,2.12053381265,1.3773655884273805,Cxcr1,2
1495,-1.5919442056,,,,,,,,,,-0.4167846165,,-1.00436441105,0.8309633144290068,Cherp,2
1496,,,,,7.8481103094,,,,,,3.681385562,,5.7647479357,2.9463193242243446,Rcvrn,2
1497,,,,0.7084292322,,,,,,,1.1982916705,,0.95336045135,0.34638505197050673,Cited4,2
1498,,,,-1.1753822571,,,,,,,-0.6990017782,,-0.93719201765,0.33685186705508513,Cdc6,2
1499,,,,0.7578305042,,,,,,,0.4517295185,,0.6047800113499999,0.2164460827163564,Slc25a24,2
1500,,,,1.4656022388,3.1623135009,,,,,,,,2.31395786985,1.1997560391464954,Rprm,2
1501,1.7669053413,,,,,,,,,,0.4762747168,,1.12159002905,0.9126136665909786,Ppp6c,2
1502,2.0299421999,,,,,,,,,0.6943441141,,,1.3621431569999998,0.9444104634089522,Ints12,2
1503,,,,,3.9128874759,,,,,,1.5385796416,,2.72573355875,1.6788891702578757,Wdr66,2
1504,,,-0.3379970554,,,,,,,,-0.4803555762,,-0.4091763158,0.10066267541736618,Gins2,2
1505,0.39307425,,,,,,,,,,0.6093934083,,0.50123382915,0.15296074373449622,Cd24a,2
1507,,,,,,,,,0.8872029268,0.6893387554,,,0.7882708411,0.13991109735079735,Iigp1,2
1508,,,,,,,,,1.5424778665,0.8810042805,,,1.2117410735,0.467732458236383,H2-Ab1,2
1509,1.6072129219,,,,-0.768097163,,,,,,,,0.41955787945,1.6795978684535837,Gns,2
1510,-1.0942090583,,,,,,,,,,-0.5751941999,,-0.8347016291,0.36699892591121575,9430015G10Rik,2
1511,,,,0.8516168969,,1.7308661755,,,,,,,1.2912415362,0.6217231272514401,Slc16a12,2
1512,3.8086423311,,,,,,,,,,-1.1583224401,,1.3251599455,3.512174471630209,Slfn4,2
1513,,,,,,,,,0.8054665402,,0.7928090983,,0.79913781925,0.008950162999964706,Ly6a,2
1514,2.1247998948,,,0.6492588533,,,,,,,,,1.3870293740500002,1.043365076363711,Arhgef12,2
1515,,,-0.3102738897,-0.6711373505,,,,,,,,,-0.4907056201,0.25516900021412586,Gnb4,2
1516,0.3479286435,,,,,,,,,,0.428095512,,0.38801207775,0.056686536342840224,Erlec1,2
1517,1.0661351104,,,,-1.1520469353,,,,,,,,-0.04295591244999997,1.5684915664207182,Trp53rka,2
1518,,,,,-0.770135218,,,,,,-0.5368228229,,-0.6534790204500001,0.16497677671008495,Ptpre,2
1519,,,,,0.4627331471,,,,,,0.5101873832,,0.48646026515,0.03355521214233746,Soat1,2
1520,,,,,,,,-0.7559958483,,,-0.4002197996,,-0.5781078239499999,0.2515716566195254,Nusap1,2
1521,,,,,-0.9095624444,,0.943604422229165,,,,,,0.01702098891458248,1.3103868580637088,Ppp1cc,2
1522,,,,,,1.2506485857,,,,,0.5690547128,,0.90985164925,0.48195964954279186,Gca,2
1523,-0.2716402726,,,,,,,,,,0.8137031966,,0.271031462,0.7674537269878529,Cftr,2
1524,-1.0232687596,,,,,,,,,,-0.5777537954,,-0.8005112775000001,0.315026652305902,Pold1,2
1525,0.9937227496,,,,,,,,,,0.6360544542,,0.8148886018999999,0.25290967709277323,Hnmt,2
1526,,,-0.4648513731,,,-1.2516583612,,,,,,,-0.8582548671500001,0.5563565567704732,Cdk5rap1,2
1527,,,,,,,,,0.6272971061,,0.4739777282,,0.55063741715,0.1084131718003929,Mtss2,2
1528,,,,,4.8184919845,,,,,,1.8634295569,,3.3409607706999997,2.089544681385541,Ackr1,2
1529,,,,-1.2850540174,,,,,,,-0.5763951442,,-0.9307245808,0.5010974947877377,Tcf19,2
1530,,,,3.2257338141,,2.7959113443,,,,,,,3.0108225792,0.30393038310193,Ccbe1,2
1531,,,,,,,-0.96117706685,,,,-0.6463140478,,-0.8037455573250001,0.22264177591512413,Dscc1,2
1532,,,,,-8.9133268915,,,,,,4.2618028014,,-2.3257620450500003,9.316223548861826,Ighv1-53,2
1533,,,,0.9306007205,,,,,,,1.2501864634,,1.0903935919499999,0.22598124597513053,Efhd1,2
1534,,,,0.7418951307,,,,,,,0.4516052551,,0.5967501929,0.2052659395465593,Entpd5,2
1535,,,,-1.2884765812,,,,,,,-0.5935876318,,-0.9410321065,0.49136068829233576,Exo1,2
1537,0.7385153163,,,,,,,,,0.7810963661,,,0.7598058411999999,0.03010934906362208,H3f3b,2
1538,,,,,1.0572483924,,,,,,0.5133440861,,0.78529623925,0.384598423301295,Luzp1,2
1539,,,,,-0.7258544221,,,,,,-1.0090682719,,-0.8674613469999999,0.20026243371952832,Col4a1,2
1540,,,,0.7279392009,,,,,,,0.8997072721,,0.8138232365,0.12145836793685374,Gm15663,2
1541,,,,,,,,-0.8878759255,,,-0.8947096617,,-0.8912927936,0.004832181207859947,Sh2d5,2
1542,,,,0.641403253,,,,,,,0.8252751597,,0.7333392063499999,0.13001707209727018,Slc30a4,2
1543,1.2782521698,,,,,,,,,,0.7512311297,,1.01474164975,0.37266015128269736,Foxo1,2
1544,,,,0.6092049779,,,,,,,0.5489205284,,0.5790627531500001,0.04262754304154798,Csgalnact2,2
1545,-1.7116722288,,,,,,-0.854493752633337,,,,,,-1.2830829907166685,0.6061167131845987,Nup133,2
1546,,,,,1.2959913897,,,,,,1.2780074425,,1.2869994161,0.012716571017620719,Cd276,2
1547,,,,,3.2885278325,,,,,,0.9952705995,,2.1418992159999997,1.6215777404593983,Pcdhb21,2
1548,,,,-0.9468404804,,,,,,,-0.9432136861,,-0.9450270832500001,0.0025645308434987272,Cit,2
1549,,,,,6.3697902569,,,,,,1.9992560115,,4.1845231342,3.0904344023303705,Pcdha8,2
1550,,,,0.8077807862,,,,,,,0.9949830698,,0.9013819279999999,0.13237200418716716,Lancl3,2
1551,,,,,1.1606193107,,,,,,1.4788176904,,1.31971850055,0.22500023204844194,Dlk1,2
1552,,,,-0.5430734817,,-1.0395317647,,,,,,,-0.7913026232,0.35104901848553005,Orc1,2
1553,,,,,-3.6275699345,,,,,,-2.8472178284,,-3.23739388145,0.5517922659365142,Gm38365,2
1554,,,,1.1120447998,,,,,,,0.7532677681,,0.93265628395,0.25369367204905097,Rbm11,2
1555,,,,,5.3393930704,,,,,,1.1146490398,,3.2270210551,2.987345152814647,Scgb3a1,2
1556,,,,-1.1951020971,,,,,,,-0.4706276081,,-0.8328648526,0.5122808239685588,Cdca5,2
1557,,,,1.3553712717,,,,,1.1557286615,,,,1.2555499665999998,0.1411686434862026,Epdr1,2
1558,,,,,,,,,0.5633741998,,0.6770622549,,0.6202182273500001,0.08038959470111987,B4galnt4,2
1559,,,,,0.3875114742,,,,,,0.747049958,,0.5672807161,0.2542320999925096,Cdc42,2
1560,,,,-1.0117377146,,-1.1730814704,,,,,,,-1.0924095925000001,0.11408726382828646,Ubtf,2
1561,0.6156371661,,,,,,,,,-0.7544478767,,,-0.06940535530000003,0.9687964245661412,Msh6,2
1562,-0.3661859178,,,,,,,,,,-0.4126657478,,-0.3894258328,0.032866202981397925,Rnf126,2
1563,,,,,,-1.4284920413,,,,,-0.7745918833,,-1.1015419623,0.46237723594075486,Btnl9,2
1564,,,,-1.092772756,,,,,,,-0.4293040126,,-0.7610383843,0.46914324756345743,Rad51,2
1565,,,,,3.9060280368,,,,,,1.8705660375,,2.88829703715,1.4392889825525577,Prkcz,2
1566,,,,,1.3048927366,,,,,,1.2415085531,,1.2732006448500002,0.04481938597282246,Ptpru,2
1567,,,,-1.6429049965,-1.5012174513,,,,,,,,-1.5720612239,0.10018822402059542,Tyrobp,2
1568,,,,-0.9220883547,,,,,,,-0.3696395801,,-0.6458639674,0.3906402747778585,Rpa2,2
1569,,,,,1.4172797132,1.7337330232,,,,,,,1.5755063682,0.2237662814299287,Nxpe2,2
1570,1.2214703125,,,0.9289021422,,,,,,,,,1.07518622735,0.2068769371784706,Mylk,2
1571,1.3900015351,,,,,,-1.21520522637501,,,,,,0.08739815436249498,1.842159367432024,Tspan6,2
1572,,,,,-9.3353924262,,,,,,-1.7663006289,,-5.55084652755,5.352156137294303,Tnfrsf11b,2
1573,-2.4325715525,,,,,,-0.588492341050005,,,,,,-1.5105319467750025,1.3039609154614324,Tbc1d17,2
1574,,,,,-2.4187555699,,,,,,-0.8296973533,,-1.6242264616000002,1.1236338406580617,Siglecf,2
1575,-2.9019102553,,,,,,,,,,-0.8015913716,,-1.8517508134499998,1.4851497253184294,Fcho1,2
1578,-0.7104055568,,,,,,,,,,-0.4728843205,,-0.59164493865,0.1679528768635423,Sppl2b,2
1579,1.3638200575,,,,,,,,,,0.5632550014,,0.9635375294499999,0.5660849799492988,Tram1,2
1580,-1.6790266513,,,,,,,,,,-0.4386154983,,-1.0588210748,0.8771031377457241,Arl6ip4,2
1581,,,,,0.3621765745,,,,,,0.4711864234,,0.41668149895,0.0770816033733109,Gyg,2
1582,-1.2417843408,,,-0.6189316824,,,,,,,,,-0.9303580116,0.44042333843470827,Mrps15,2
1584,,,,,,,,,-1.9279763552,,-0.760371825,,-1.3441740901,0.825621081048553,Hmox1,2
1585,,,,,,,,,0.5006888967,,0.626034949,,0.56336192285,0.0886330435762936,Dnajb9,2
1586,,,,,3.664847994,,,,,,3.3345179858,,3.4996829899,0.23357858882762803,Spint1,2
1587,,,,1.0605823939,,,,,,,0.5284004761,,0.7944914350000001,0.3763094429012419,Crebl2,2
1588,,,,1.0084072394,,,,,,,0.8156918892,,0.9120495643000001,0.13627033096516034,Irf6,2
1589,1.1717795621,,,,,,,,,,-0.4144398694,,0.37866984635,1.1216265164635204,Nup62,2
1590,,,,,2.0852004007,,,,,,1.4704600627,,1.7778302316999999,0.43468706166871013,Entpd2,2
1591,0.9421280834,,,,-1.0744109588,,,,,,,,-0.06614143769999997,1.4259084312670454,Grb2,2
1592,,,-0.4380521674,,,,,,,,-0.6299490312,,-0.5340005993,0.1356915736814113,Pole,2
1593,-2.8441857411,,,-0.5272767698,,,,,,,,,-1.68573125545,1.638302044998178,Sdhb,2
1594,,,,,-1.5709236251,,,,,,-1.3568151999,,-1.4638694125,0.15139751936809273,Epb42,2
1595,,,,-0.7215804198,,,,,,,-0.4650975289,,-0.5933389743499999,0.1813607914137194,Cenpa,2
1596,,,,,8.4968354057,,,,,,1.3794437453,,4.9381395755,5.032755907429422,Cxcl5,2
1597,1.2673212141,,,,0.6964584302,,,,,,,,0.9818898221500001,0.4036609456227207,Myo1d,2
1598,1.9657220941,,,,,,,,,,0.483658863,,1.22469047855,1.0479769608580554,Arf2,2
1599,,,,0.7583274064,0.6033411412,,,,,,,,0.6808342738,0.10959183911369656,Aplp2,2
1600,,,,,-7.0817048184,,,,,,2.1503346218,,-2.4656850983000003,6.528037692347079,Msr1,2
1601,,,,,4.2340760001,,,,,,2.4522183865,,3.3431471933,1.259963601685439,Rarres1,2
1602,,,,1.50143481,,,,,,,1.4498745241,,1.47565466705,0.036458627799807096,Camk2n1,2
1603,,,,,6.1849999548,,,,,,2.3816906428,,4.2833452988000005,2.689345805465143,Pdcd1,2
1604,0.2252778581,,,,-0.8550267339,,,,,,,,-0.31487443789999997,0.7638907027501665,Igf1r,2
1605,2.7319055819,,,,,,,,,,0.4492094432,,1.59055751255,1.6141099190631178,Nsf,2
1606,,,,-0.7724075045,,,,,,,-0.395919649,,-0.58416357675,0.266217115658431,Ddx39,2
1610,,,,,-1.093336468,,-0.91509095424167,,,,,,-1.004213711120835,0.12603861149459517,Rras2,2
1611,,,,,,,,,,,0.818246927,,0.818246927,,Il10ra,1
1612,-2.6137410545,,,,,,,,,,,,-2.6137410545,,Fasn,1
1613,,,,,,,,,,0.2857677305,,,0.2857677305,,Tmem181a,1
1614,1.1738222736,,,,,,,,,,,,1.1738222736,,Ehd4,1
1615,-2.7064238293,,,,,,,,,,,,-2.7064238293,,Adrbk1,1
1616,,,,,,,,,,,1.7998081853,,1.7998081853,,D630033O11Rik,1
1617,,,,,,,,,,-0.7720072808,,,-0.7720072808,,Itpripl1,1
1618,,,,,,,,,,,-0.3980471027,,-0.3980471027,,Nudc,1
1619,,,,,,,,,,,1.5300264298,,1.5300264298,,Tmem163,1
1620,,,,,,,,,,,-0.585537074,,-0.585537074,,Tepsin,1
1621,0.5410653425,,,,,,,,,,,,0.5410653425,,Cct2,1
1623,,,,,,,,,,,,0.5875984327,0.5875984327,,Gstz1,1
1624,,,-0.3563084417,,,,,,,,,,-0.3563084417,,Ucp2,1
1625,,,,-1.2406182098,,,,,,,,,-1.2406182098,,Aff3,1
1626,-0.7949032604,,,,,,,,,,,,-0.7949032604,,Rbm10,1
1627,,,,,-1.0050886589,,,,,,,,-1.0050886589,,Maml3,1
1628,,,,,,,,,,,-1.2457047479,,-1.2457047479,,Ifnab,1
1629,2.2674154669,,,,,,,,,,,,2.2674154669,,Aldh9a1,1
1631,,,,,,,,,,,-1.1782679451,,-1.1782679451,,Itgad,1
1632,,,,,,,,,,,-1.2815538853,,-1.2815538853,,Bnipl,1
1633,,,,,,,,,,,-1.5710869744,,-1.5710869744,,Sema3a,1
1634,,,,,-7.1136695118,,,,,,,,-7.1136695118,,Gm43088,1
1635,,,,,,-0.8324488014,,,,,,,-0.8324488014,,AW011738,1
1636,1.7780097919,,,,,,,,,,,,1.7780097919,,Slc16a1,1
1637,,,,,,,,,,,0.840800771,,0.840800771,,Evpl,1
1638,,,,,-0.9322987427,,,,,,,,-0.9322987427,,Timp2,1
1639,,,,,,,,,,,2.7666204784,,2.7666204784,,Gm9733,1
1640,,,,,,,,,,,-1.3722367638,,-1.3722367638,,4930426D05Rik,1
1641,,,,,,,,,,,-4.5515455769,,-4.5515455769,,2410018L13Rik,1
1642,,,,,,,,,,,1.0843642615,,1.0843642615,,Fcor,1
1643,,,,,,,,,,,-1.1643116683,,-1.1643116683,,Gpm6a,1
1644,,,,,,,,,,,-1.0749076635,,-1.0749076635,,Kif17,1
1645,1.7438005863,,,,,,,,,,,,1.7438005863,,Cacul1,1
1647,-1.3677256776,,,,,,,,,,,,-1.3677256776,,Ofd1,1
1648,-1.5160288763,,,,,,,,,,,,-1.5160288763,,Gps1,1
1649,-0.3946068961,,,,,,,,,,,,-0.3946068961,,Mepce,1
1650,-1.6823566623,,,,,,,,,,,,-1.6823566623,,Eng,1
1651,,,,,,,,,,,-2.249659184,,-2.249659184,,Capns2,1
1652,,,,,,,,,,,-3.3604689831,,-3.3604689831,,Cacna1g,1
1653,,,,,,,,,,,-0.9304618958,,-0.9304618958,,6430571L13Rik,1
1654,,,,,,,,,,,2.7265276439,,2.7265276439,,A930016O22Rik,1
1655,,,,,,,-0.641428387800002,,,,,,-0.641428387800002,,Pde7b,1
1656,,,,,,,,,,,1.0619687861,,1.0619687861,,Gstm2-ps1,1
1657,,,,,,,,,,,1.9722111166,,1.9722111166,,Lingo4,1
1658,,,,-1.0145742521,,,,,,,,,-1.0145742521,,Smc1a,1
1659,,,,,,,0.644756546591662,,,,,,0.644756546591662,,Lbh,1
1660,0.5112331483,,,,,,,,,,,,0.5112331483,,Cyp7b1,1
1661,0.5875182763,,,,,,,,,,,,0.5875182763,,Klf9,1
1663,,,,,,,,,,,1.1884064333,,1.1884064333,,Slc6a8,1
1664,,,,,1.0328289276,,,,,,,,1.0328289276,,Trpm4,1
1665,,,,,-6.5341825812,,,,,,,,-6.5341825812,,Fcnb,1
1666,,,,,,,,,,,-2.1700354336,,-2.1700354336,,Gm15602,1
1667,-1.2123748269,,,,,,,,,,,,-1.2123748269,,Ppp1ca,1
1668,1.8083963365,,,,,,,,,,,,1.8083963365,,Litaf,1
1669,,,,,,,,,,,-2.3414577093,,-2.3414577093,,Loxl4,1
1670,,,,,,,,,,,-1.6899798699,,-1.6899798699,,Gm8349,1
1671,-2.2513531103,,,,,,,,,,,,-2.2513531103,,Prpf40b,1
1672,-1.2950345415,,,,,,,,,,,,-1.2950345415,,Mbd1,1
1674,,,,1.1509681153,,,,,,,,,1.1509681153,,Meiob,1
1675,0.6177592349,,,,,,,,,,,,0.6177592349,,Mapkapk2,1
1676,0.8183071186,,,,,,,,,,,,0.8183071186,,Mydgf,1
1678,,,,,,,,,,,-1.4358929497,,-1.4358929497,,Serinc4,1
1679,-1.3238169418,,,,,,,,,,,,-1.3238169418,,Faap20,1
1680,,,,0.9224627348,,,,,,,,,0.9224627348,,Fmnl2,1
1681,,,,,0.8604363498,,,,,,,,0.8604363498,,Tha1,1
1682,,,,,,,,,,,-1.4681781572,,-1.4681781572,,Wdr49,1
1683,3.8559487953,,,,,,,,,,,,3.8559487953,,Smc4,1
1684,,,,,,,,,,,-0.6880465056,,-0.6880465056,,BC030867,1
1685,,,,,,,,,,,3.3256347132,,3.3256347132,,Ighv1-82,1
1686,,,,0.6728628208,,,,,,,,,0.6728628208,,Ccdc149,1
1687,,,,,,,,,,,0.4028221169,,0.4028221169,,Rftn1,1
1688,,,,,,,,,,,-0.8508400763,,-0.8508400763,,Speg,1
1689,,,,,,,,,,,-0.6963366425,,-0.6963366425,,Dot1l,1
1690,,,,,,,,,,,-1.0766803949,,-1.0766803949,,Dnah11,1
1691,-1.4218823825,,,,,,,,,,,,-1.4218823825,,Csnk2a2,1
1694,,,,,,,,,,,-4.4343057734,,-4.4343057734,,Gm47171,1
1695,-1.4222416863,,,,,,,,,,,,-1.4222416863,,Ngdn,1
1696,,,,,,,,,,,0.7427853113,,0.7427853113,,Met,1
1697,-1.7248986034,,,,,,,,,,,,-1.7248986034,,Sart1,1
1698,2.5145510509,,,,,,,,,,,,2.5145510509,,Cirbp,1
